Encoding,Total,Max,Min,Avg
delimiter,2,12.72499999999989,12.72499999999989,12.72499999999989
calibration,2,50.150000000000105,50.150000000000105,50.150000000000105
00,24,12.599999999999982,12.499999999999924,12.540624999999983
01,6,18.875000000000227,18.749999999999886,18.812500000000128
11,2,25.075000000000269,25.0249999999997,25.049999999999983
10,9,31.400000000000006,31.274999999999878,31.341666666666658
