time,voltage
1.6642718788E-03,4.220500E-01
1.6642968788E-03,4.220500E-01
1.6643218788E-03,4.220500E-01
1.6643468788E-03,4.220500E-01
1.6643718788E-03,4.219600E-01
1.6643968788E-03,4.217100E-01
1.6644218788E-03,4.213700E-01
1.6644468788E-03,4.211200E-01
1.6644718788E-03,4.211200E-01
1.6644968788E-03,4.212900E-01
1.6645218788E-03,4.215400E-01
1.6645468788E-03,4.217100E-01
1.6645718788E-03,4.218800E-01
1.6645968788E-03,4.219600E-01
1.6646218788E-03,4.219600E-01
1.6646468788E-03,4.219600E-01
1.6646718788E-03,4.219600E-01
1.6646968788E-03,4.219600E-01
1.6647218788E-03,4.219600E-01
1.6647468788E-03,4.218800E-01
1.6647718788E-03,4.217100E-01
1.6647968788E-03,4.214600E-01
1.6648218788E-03,4.212000E-01
1.6648468788E-03,4.208700E-01
1.6648718788E-03,4.207000E-01
1.6648968788E-03,4.205300E-01
1.6649218788E-03,4.203600E-01
1.6649468788E-03,4.202700E-01
1.6649718788E-03,4.201900E-01
1.6649968788E-03,4.202700E-01
1.6650218788E-03,4.203600E-01
1.6650468788E-03,4.204400E-01
1.6650718788E-03,4.205300E-01
1.6650968788E-03,4.204400E-01
1.6651218788E-03,4.203600E-01
1.6651468788E-03,4.204400E-01
1.6651718788E-03,4.206100E-01
1.6651968788E-03,4.209500E-01
1.6652218788E-03,4.214600E-01
1.6652468788E-03,4.218800E-01
1.6652718788E-03,4.223000E-01
1.6652968788E-03,4.225600E-01
1.6653218788E-03,4.225600E-01
1.6653468788E-03,4.223900E-01
1.6653718788E-03,4.221300E-01
1.6653968788E-03,4.218800E-01
1.6654218788E-03,4.216300E-01
1.6654468788E-03,4.212900E-01
1.6654718788E-03,4.208700E-01
1.6654968788E-03,4.204400E-01
1.6655218788E-03,4.201000E-01
1.6655468788E-03,4.198500E-01
1.6655718788E-03,4.196800E-01
1.6655968788E-03,4.195100E-01
1.6656218788E-03,4.193400E-01
1.6656468788E-03,4.194300E-01
1.6656718788E-03,4.196800E-01
1.6656968788E-03,4.201000E-01
1.6657218788E-03,4.206100E-01
1.6657468788E-03,4.210300E-01
1.6657718788E-03,4.213700E-01
1.6657968788E-03,4.217100E-01
1.6658218788E-03,4.218800E-01
1.6658468788E-03,4.221300E-01
1.6658718788E-03,4.222200E-01
1.6658968788E-03,4.221300E-01
1.6659218788E-03,4.218800E-01
1.6659468788E-03,4.212900E-01
1.6659718788E-03,4.206100E-01
1.6659968788E-03,4.200200E-01
1.6660218788E-03,4.195100E-01
1.6660468788E-03,4.192600E-01
1.6660718788E-03,4.192600E-01
1.6660968788E-03,4.193400E-01
1.6661218788E-03,4.196800E-01
1.6661468788E-03,4.200200E-01
1.6661718788E-03,4.203600E-01
1.6661968788E-03,4.207000E-01
1.6662218788E-03,4.209500E-01
1.6662468788E-03,4.211200E-01
1.6662718788E-03,4.209500E-01
1.6662968788E-03,4.205300E-01
1.6663218788E-03,4.199300E-01
1.6663468788E-03,4.193400E-01
1.6663718788E-03,4.189200E-01
1.6663968788E-03,4.189200E-01
1.6664218788E-03,4.190900E-01
1.6664468788E-03,4.194300E-01
1.6664718788E-03,4.197700E-01
1.6664968788E-03,4.200200E-01
1.6665218788E-03,4.203600E-01
1.6665468788E-03,4.207000E-01
1.6665718788E-03,4.210300E-01
1.6665968788E-03,4.213700E-01
1.6666218788E-03,4.217100E-01
1.6666468788E-03,4.218800E-01
1.6666718788E-03,4.218800E-01
1.6666968788E-03,4.217100E-01
1.6667218788E-03,4.213700E-01
1.6667468788E-03,4.211200E-01
1.6667718788E-03,4.208700E-01
1.6667968788E-03,4.208700E-01
1.6668218788E-03,4.211200E-01
1.6668468788E-03,4.214600E-01
1.6668718788E-03,4.219600E-01
1.6668968788E-03,4.223000E-01
1.6669218788E-03,4.223900E-01
1.6669468788E-03,4.223000E-01
1.6669718788E-03,4.220500E-01
1.6669968788E-03,4.217100E-01
1.6670218788E-03,4.212000E-01
1.6670468788E-03,4.207800E-01
1.6670718788E-03,4.204400E-01
1.6670968788E-03,4.201000E-01
1.6671218788E-03,4.199300E-01
1.6671468788E-03,4.198500E-01
1.6671718788E-03,4.198500E-01
1.6671968788E-03,4.199300E-01
1.6672218788E-03,4.200200E-01
1.6672468788E-03,4.201000E-01
1.6672718788E-03,4.201900E-01
1.6672968788E-03,4.201900E-01
1.6673218788E-03,4.201900E-01
1.6673468788E-03,4.200200E-01
1.6673718788E-03,4.200200E-01
1.6673968788E-03,4.201000E-01
