Encoding,Total,Max,Min,Avg
delimiter,1,12.725000000000106,12.725000000000106,12.725000000000106
calibration,1,99.999999999999829,99.999999999999829,99.999999999999829
00,17,25.049999999999986,24.949999999999712,25.001470588235325
01,2,37.524999999999622,37.474999999999923,37.499999999999773
11,1,49.975000000000279,49.975000000000279,49.975000000000279
10,4,62.500000000000057,62.500000000000057,62.500000000000057
